gene_name gene_id tx_id chr start end strand distance lonely
LRBA ENSG00000198589 ENST00000651943 chr4 150264435 151015284 - 2626650 Yes
ZNF717 ENSG00000227124 ENST00000652011 chr3 75735868 75785549 - 2617001 Yes
SETD3 ENSG00000183576 ENST00000331768 chr14 99397748 99480859 - 2600444 Yes
CERS6 ENSG00000172292 ENST00000305747 chr2 168456272 168775134 + 2598774 Yes
SPOPL ENSG00000144228 ENST00000280098 chr2 138501770 138573547 + 2595889 Yes
MGAT5 ENSG00000152127 ENST00000281923 chr2 134254072 134454621 + 2592308 Yes
SMC2 ENSG00000136824 ENST00000374793 chr9 104094309 104141419 + 2560407 Yes
THOC2 ENSG00000125676 ENST00000245838 chrX 123600569 123733052 - 2552951 Yes
BTG1 ENSG00000133639 ENST00000256015 chr12 92140278 92145846 - 2552229 Yes
PLSCR1 ENSG00000188313 ENST00000342435 chr3 146515180 146544607 - 2543357 Yes
RNPC3 ENSG00000185946 ENST00000423855 chr1 103525699 103555239 + 2536068 Yes
ZNF800 ENSG00000048405 ENST00000265827 chr7 127370043 127392708 - 2524404 Yes
SRFBP1 ENSG00000151304 ENST00000339397 chr5 121961975 122028633 + 2509510 Yes
TBC1D4 ENSG00000136111 ENST00000377636 chr13 75283503 75482169 - 2501370 Yes
KIF16B ENSG00000089177 ENST00000354981 chr20 16272104 16573448 - 2487097 Yes
CCDC59 ENSG00000133773 ENST00000256151 chr12 82352303 82358387 - 2450118 Yes
NBAS ENSG00000151779 ENST00000281513 chr2 15166916 15561334 - 2450006 Yes
SLIT2 ENSG00000145147 ENST00000504154 chr4 20251905 20620561 + 2410718 Yes
TERF1 ENSG00000147601 ENST00000276603 chr8 73008864 73048123 + 2373538 Yes
RHBDD1 ENSG00000144468 ENST00000392062 chr2 226836054 226999210 + 2365431 Yes
ZNF236 ENSG00000130856 ENST00000320610 chr18 76822557 76972901 + 2326741 Yes
MRPS9 ENSG00000135972 ENST00000258455 chr2 105038069 105099960 + 2323439 Yes
MYC ENSG00000136997 ENST00000621592 chr8 127736231 127742951 + 2305076 Yes
SLC39A8 ENSG00000138821 ENST00000356736 chr4 102261666 102345482 - 2302994 Yes
TRIP12 ENSG00000153827 ENST00000675903 chr2 229763837 229922009 - 2291685 Yes
ARHGAP18 ENSG00000146376 ENST00000368149 chr6 129576132 129710177 - 2287420 Yes
QKI ENSG00000112531 ENST00000361752 chr6 163414718 163578592 + 2284033 Yes
VRK2 ENSG00000028116 ENST00000340157 chr2 58046806 58159871 + 2273568 Yes
OPA1 ENSG00000198836 ENST00000361510 chr3 193593208 193697811 + 2264059 Yes
MKI67 ENSG00000148773 ENST00000368654 chr10 128096659 128126423 - 2260322 Yes
TXNL1 ENSG00000091164 ENST00000217515 chr18 56597209 56638592 - 2239303 Yes
ARL14EP ENSG00000152219 ENST00000282032 chr11 30323104 30338223 + 2214856 Yes
MED7 ENSG00000155868 ENST00000286317 chr5 157137424 157142865 - 2196351 Yes
CRPPA ENSG00000214960 ENST00000407010 chr7 16087525 16421538 - 2196296 Yes
PAXIP1 ENSG00000157212 ENST00000404141 chr7 154943690 155003124 - 2183938 Yes
MAGEC1 ENSG00000155495 ENST00000285879 chrX 141903894 141909374 + 2177548 Yes
TSC22D1 ENSG00000102804 ENST00000458659 chr13 44432143 44576330 - 2159991 Yes
MED13L ENSG00000123066 ENST00000281928 chr12 115958576 116277693 - 2141167 Yes
WAPL ENSG00000062650 ENST00000298767 chr10 86435256 86521792 - 2106670 Yes
CYRIB ENSG00000153310 ENST00000694912 chr8 129839593 130016560 - 2104159 Yes
IMMP2L ENSG00000184903 ENST00000405709 chr7 110662644 111562492 - 2092777 Yes
NFIA ENSG00000162599 ENST00000403491 chr1 61082561 61462788 + 2088414 Yes
CARD18 ENSG00000255501 ENST00000530950 chr11 105137714 105139769 - 2087028 Yes
ETAA1 ENSG00000143971 ENST00000272342 chr2 67397333 67412089 + 2086471 Yes
TRIM32 ENSG00000119401 ENST00000450136 chr9 116687305 116701299 + 2076099 Yes
MFHAS1 ENSG00000147324 ENST00000276282 chr8 8783354 8893630 - 2074712 Yes
IBTK ENSG00000005700 ENST00000306270 chr6 82169987 82247744 - 2063339 Yes
TET2 ENSG00000168769 ENST00000380013 chr4 105146876 105279803 + 2040526 Yes
GLRX3 ENSG00000108010 ENST00000331244 chr10 130136391 130179672 + 2039732 Yes
SPCS3 ENSG00000129128 ENST00000503362 chr4 176319966 176332245 + 2036236 Yes
TMEM242 ENSG00000215712 ENST00000400788 chr6 157289025 157323519 - 2032891 Yes
TAB2 ENSG00000055208 ENST00000637181 chr6 149317712 149411607 + 2014461 Yes
PIGN ENSG00000197563 ENST00000640252 chr18 62041164 62187056 - 2005259 Yes
RLIM ENSG00000131263 ENST00000332687 chrX 74582976 74614624 - 2004162 Yes
NSMCE1 ENSG00000169189 ENST00000361439 chr16 27224994 27268772 - 1988993 Yes
TMX4 ENSG00000125827 ENST00000246024 chr20 7977346 8019761 - 1971253 Yes
UGT8 ENSG00000174607 ENST00000310836 chr4 114598807 114678225 + 1961693 Yes
CREB3L2 ENSG00000182158 ENST00000330387 chr7 137874979 138002086 - 1948219 Yes
SHTN1 ENSG00000187164 ENST00000355371 chr10 116881477 117005187 - 1943282 Yes
FBXO38 ENSG00000145868 ENST00000340253 chr5 148383958 148442836 + 1936624 Yes
CHORDC1 ENSG00000110172 ENST00000320585 chr11 90200429 90223049 - 1935360 Yes
ADO ENSG00000181915 ENST00000373783 chr10 62804720 62808479 + 1935282 Yes
POLR1F ENSG00000105849 ENST00000222567 chr7 19695461 19709037 - 1904700 Yes
CHD2 ENSG00000173575 ENST00000394196 chr15 92900324 93027996 + 1887530 Yes
ZBTB14 ENSG00000198081 ENST00000651870 chr18 5289022 5295726 - 1877411 Yes
MBOAT1 ENSG00000172197 ENST00000324607 chr6 20099684 20212469 - 1875824 Yes
BBX ENSG00000114439 ENST00000325805 chr3 107522962 107811339 + 1867475 Yes
EFR3A ENSG00000132294 ENST00000254624 chr8 131904093 132013642 + 1851989 Yes
EGLN3 ENSG00000129521 ENST00000250457 chr14 33924227 33951074 - 1848113 Yes
HDAC2 ENSG00000196591 ENST00000519065 chr6 113933028 113971148 - 1845437 Yes
DPY19L1 ENSG00000173852 ENST00000638088 chr7 34928881 35037485 - 1832495 Yes
SACS ENSG00000151835 ENST00000382292 chr13 23328830 23433702 - 1795998 Yes
STARD3NL ENSG00000010270 ENST00000009041 chr7 38178245 38230669 + 1788424 Yes
ZNF622 ENSG00000173545 ENST00000308683 chr5 16451519 16465800 - 1786855 Yes
TRIQK ENSG00000205133 ENST00000521988 chr8 92883534 92966144 - 1781700 Yes
UBE3A ENSG00000114062 ENST00000648336 chr15 25333728 25439024 - 1768054 Yes
SMARCA2 ENSG00000080503 ENST00000349721 chr9 2015347 2193620 + 1765436 Yes
HSPA8 ENSG00000109971 ENST00000534624 chr11 123057489 123062136 - 1764808 Yes
CCDC112 ENSG00000164221 ENST00000379611 chr5 115267190 115296654 - 1753496 Yes
SCAF8 ENSG00000213079 ENST00000367178 chr6 154733416 154834221 + 1746016 Yes
ANKRD50 ENSG00000151458 ENST00000504087 chr4 124664048 124712732 - 1740978 Yes
C11orf58 ENSG00000110696 ENST00000228136 chr11 16738647 16758340 + 1735692 Yes
FBXL4 ENSG00000112234 ENST00000369244 chr6 98868535 98947946 - 1726374 Yes
CHD1 ENSG00000153922 ENST00000614616 chr5 98853985 98929007 - 1693118 Yes
OXR1 ENSG00000164830 ENST00000517566 chr8 106270190 106752694 + 1679411 Yes
ARHGAP11A ENSG00000198826 ENST00000361627 chr15 32615504 32639941 + 1676203 Yes
CHCHD3 ENSG00000106554 ENST00000262570 chr7 132784870 133082090 - 1674774 Yes
AGAP1 ENSG00000157985 ENST00000304032 chr2 235494043 236131793 + 1660627 Yes
ARRDC4 ENSG00000140450 ENST00000268042 chr15 97960703 97973833 + 1634765 Yes
WDR1 ENSG00000071127 ENST00000499869 chr4 10074339 10116799 - 1631949 Yes
WDR27 ENSG00000184465 ENST00000448612 chr6 169457212 169702029 - 1630319 Yes
PPP2R5E ENSG00000154001 ENST00000337537 chr14 63371364 63543377 - 1608944 Yes
MEF2A ENSG00000068305 ENST00000557942 chr15 99565984 99716488 + 1604714 Yes
CA8 ENSG00000178538 ENST00000317995 chr8 60185412 60281400 - 1601904 Yes
COPS8 ENSG00000198612 ENST00000354371 chr2 237085889 237100474 + 1591839 Yes
SLC4A7 ENSG00000033867 ENST00000454389 chr3 27372723 27484384 - 1589804 Yes
SFXN1 ENSG00000164466 ENST00000321442 chr5 175478560 175529742 + 1588713 Yes
RAD23B ENSG00000119318 ENST00000358015 chr9 107283279 107332189 + 1588596 Yes
SLC25A36 ENSG00000114120 ENST00000324194 chr3 140941836 140980995 + 1587884 Yes
KRBOX4 ENSG00000147121 ENST00000344302 chrX 46447297 46474639 + 1574104 Yes
OBI1 ENSG00000152193 ENST00000282003 chr13 78614289 78659155 - 1571815 Yes
HSBP1 ENSG00000230989 ENST00000433866 chr16 83807978 83819737 + 1571513 Yes
AGTPBP1 ENSG00000135049 ENST00000357081 chr9 85546539 85741954 - 1565741 Yes
PDE4DIP ENSG00000178104 ENST00000695795 chr1 148844428 149033016 + 1565486 Yes
TBL1X ENSG00000101849 ENST00000645353 chrX 9465058 9719740 + 1565073 Yes
IDS ENSG00000010404 ENST00000340855 chrX 149476988 149505306 - 1565069 Yes
ZNF277 ENSG00000198839 ENST00000361822 chr7 112206695 112343934 + 1544051 Yes
MON1B ENSG00000103111 ENST00000248248 chr16 77191190 77202398 + 1543062 Yes
ZNF217 ENSG00000171940 ENST00000371471 chr20 53567071 53593839 - 1515408 Yes
MBNL1 ENSG00000152601 ENST00000324210 chr3 152268929 152465780 + 1502703 Yes
TASP1 ENSG00000089123 ENST00000337743 chr20 13389394 13638932 - 1498669 Yes
SPTA1 ENSG00000163554 ENST00000643759 chr1 158610704 158686715 - 1489513 Yes
ARHGAP21 ENSG00000107863 ENST00000396432 chr10 24583614 24723887 - 1488030 Yes
PTBP2 ENSG00000117569 ENST00000674951 chr1 96721784 96815049 + 1487455 Yes
SYK ENSG00000165025 ENST00000375754 chr9 90801819 90898549 + 1483287 Yes
ZNF675 ENSG00000197372 ENST00000359788 chr19 23652801 23687212 - 1473201 Yes
ALG13 ENSG00000101901 ENST00000394780 chrX 111681170 111760649 + 1471625 Yes
NDUFA10 ENSG00000130414 ENST00000252711 chr2 239957372 240025342 - 1465708 Yes
SATB2 ENSG00000119042 ENST00000417098 chr2 199269505 199457939 - 1464912 Yes
ALDH4A1 ENSG00000159423 ENST00000375341 chr1 18871430 18902555 - 1464670 Yes
CWC22 ENSG00000163510 ENST00000410053 chr2 179944876 180007297 - 1464419 Yes
AFF1 ENSG00000172493 ENST00000395146 chr4 86935011 87141039 + 1459852 Yes
BTBD3 ENSG00000132640 ENST00000378226 chr20 11917893 11926595 + 1455418 Yes
ETS2 ENSG00000157557 ENST00000360938 chr21 38805929 38824955 + 1439610 Yes
ATF7IP2 ENSG00000166669 ENST00000562102 chr16 10386061 10483638 + 1434337 Yes
VPS13C ENSG00000129003 ENST00000644861 chr15 61852389 62060447 - 1432780 Yes
MTLN ENSG00000175701 ENST00000611969 chr2 110211529 110212547 - 1424772 Yes
ANO6 ENSG00000177119 ENST00000320560 chr12 45216095 45432349 + 1422264 Yes
NTPCR ENSG00000135778 ENST00000366628 chr1 232950611 232983882 + 1422064 Yes
MBNL2 ENSG00000139793 ENST00000679496 chr13 97222333 97394120 + 1419854 Yes
MRTFB ENSG00000186260 ENST00000571589 chr16 14071319 14266773 + 1411520 Yes
SCML2 ENSG00000102098 ENST00000251900 chrX 18239313 18354688 - 1400030 Yes
SMIM12 ENSG00000163866 ENST00000521580 chr1 34850362 34859749 - 1389114 Yes
TRMT44 ENSG00000155275 ENST00000389737 chr4 8440777 8476555 + 1377469 Yes
TUBGCP3 ENSG00000126216 ENST00000261965 chr13 112485011 112588153 - 1370452 Yes
SPRED1 ENSG00000166068 ENST00000299084 chr15 38252836 38357249 + 1363632 Yes
CDIN1 ENSG00000186073 ENST00000566621 chr15 36579626 36810244 + 1362281 Yes
ZNF22 ENSG00000165512 ENST00000298299 chr10 45000923 45005326 + 1357063 Yes
MAGI1 ENSG00000151276 ENST00000402939 chr3 65353526 66038918 - 1342975 Yes
UFM1 ENSG00000120686 ENST00000239878 chr13 38349851 38363619 + 1340537 Yes
APMAP ENSG00000101474 ENST00000217456 chr20 24962925 24992751 - 1336219 Yes
ATRX ENSG00000085224 ENST00000373344 chrX 77504880 77786216 - 1331840 Yes
RTTN ENSG00000176225 ENST00000640769 chr18 70003031 70205687 - 1329343 Yes
CHMP1B ENSG00000255112 ENST00000526991 chr18 11851413 11854444 + 1325508 Yes
JARID2 ENSG00000008083 ENST00000341776 chr6 15246069 15522042 + 1321623 Yes
PRELID2 ENSG00000186314 ENST00000683046 chr5 145756344 145835342 - 1313637 Yes
CCND2 ENSG00000118971 ENST00000261254 chr12 4273762 4305353 + 1310441 Yes
BRWD3 ENSG00000165288 ENST00000373275 chrX 80669503 80809877 - 1309119 Yes
MTERF1 ENSG00000127989 ENST00000351870 chr7 91870929 91880702 - 1308287 Yes
KRCC1 ENSG00000172086 ENST00000347055 chr2 88027205 88055783 - 1306914 Yes
PIGK ENSG00000142892 ENST00000370812 chr1 77088989 77219430 - 1302792 Yes
RFK ENSG00000135002 ENST00000376736 chr9 76385526 76394426 - 1297012 Yes
SP4 ENSG00000105866 ENST00000222584 chr7 21428083 21514822 + 1293388 Yes
PRKCA ENSG00000154229 ENST00000413366 chr17 66302613 66810743 + 1293324 Yes
ADAMTS3 ENSG00000156140 ENST00000286657 chr4 72280969 72569221 - 1288431 Yes
PAPSS1 ENSG00000138801 ENST00000265174 chr4 107613666 107720234 - 1274732 Yes
CPVL ENSG00000106066 ENST00000265394 chr7 28995235 29146537 - 1255904 Yes
BCOR ENSG00000183337 ENST00000378444 chrX 40051251 40097958 - 1248375 Yes
AVEN ENSG00000169857 ENST00000306730 chr15 33866227 34039204 - 1243638 Yes
OAT ENSG00000065154 ENST00000368845 chr10 124397303 124418923 - 1242901 Yes
RFC3 ENSG00000133119 ENST00000380071 chr13 33818149 33837500 + 1231617 Yes
LSM8 ENSG00000128534 ENST00000249299 chr7 118184164 118204035 + 1230906 Yes
ITM2A ENSG00000078596 ENST00000373298 chrX 79360384 79367334 - 1230636 Yes
GPAM ENSG00000119927 ENST00000348367 chr10 112149865 112183765 - 1230498 Yes
PNPLA4 ENSG00000006757 ENST00000381042 chrX 7898247 7927413 - 1230382 Yes
SMYD2 ENSG00000143499 ENST00000366957 chr1 214281159 214337131 + 1229869 Yes
PITPNB ENSG00000180957 ENST00000335272 chr22 27851669 27919256 - 1229706 Yes
TXN ENSG00000136810 ENST00000374517 chr9 110243810 110256507 - 1228675 Yes
DYM ENSG00000141627 ENST00000675505 chr18 49036387 49460645 - 1227430 Yes
PARD3 ENSG00000148498 ENST00000374788 chr10 34109561 34815296 - 1222287 Yes
RAI14 ENSG00000039560 ENST00000265109 chr5 34656328 34832612 + 1215632 Yes
DAPK1 ENSG00000196730 ENST00000408954 chr9 87497867 87708634 + 1209495 Yes
MRPS30 ENSG00000112996 ENST00000507110 chr5 44808947 44815514 + 1206255 Yes
ETV1 ENSG00000006468 ENST00000430479 chr7 13891229 13989666 - 1204373 Yes
FAT1 ENSG00000083857 ENST00000441802 chr4 186587794 186723856 - 1188257 Yes
POLR3B ENSG00000013503 ENST00000228347 chr12 106357748 106510198 + 1184451 Yes
CSMD1 ENSG00000183117 ENST00000635120 chr8 2935361 4994914 - 1179575 Yes
RPP30 ENSG00000148688 ENST00000371703 chr10 90871974 90902191 + 1170362 Yes
PMP22 ENSG00000109099 ENST00000312280 chr17 15229779 15265326 - 1160283 Yes
TMTC4 ENSG00000125247 ENST00000342624 chr13 100603625 100674795 - 1157314 Yes
FOXJ3 ENSG00000198815 ENST00000361346 chr1 42176548 42335235 - 1149337 Yes
CLN8 ENSG00000182372 ENST00000331222 chr8 1763789 1786570 + 1141032 Yes
NPM1 ENSG00000181163 ENST00000296930 chr5 171387849 171410900 + 1140883 Yes
TTC33 ENSG00000113638 ENST00000337702 chr5 40711576 40755961 - 1140658 Yes
POT1 ENSG00000128513 ENST00000357628 chr7 124822386 124929825 - 1140443 Yes
ZNF131 ENSG00000172262 ENST00000682664 chr5 43120914 43176322 + 1139922 Yes
GMDS ENSG00000112699 ENST00000380815 chr6 1623806 2245605 - 1138652 Yes
TBPL1 ENSG00000028839 ENST00000237264 chr6 133953224 133990432 + 1137601 Yes
RXYLT1 ENSG00000118600 ENST00000261234 chr12 63779909 63809562 + 1135839 Yes
WDFY3 ENSG00000163625 ENST00000295888 chr4 84669597 84966690 - 1132851 Yes
PRDM2 ENSG00000116731 ENST00000311066 chr1 13700188 13825079 + 1132278 Yes
TDP1 ENSG00000042088 ENST00000335725 chr14 89955927 90044764 + 1130786 Yes
ECPAS ENSG00000136813 ENST00000684092 chr9 111360685 111484383 - 1116875 Yes
DHX36 ENSG00000174953 ENST00000496811 chr3 154272546 154324487 - 1110320 Yes
WARS2 ENSG00000116874 ENST00000235521 chr1 119031216 119140653 - 1101496 Yes
CLASP1 ENSG00000074054 ENST00000696935 chr2 121337776 121649462 - 1097712 Yes
GPHN ENSG00000171723 ENST00000478722 chr14 66508147 67181803 + 1096815 Yes
LIFR ENSG00000113594 ENST00000453190 chr5 38474668 38556646 - 1095383 Yes
RBBP8 ENSG00000101773 ENST00000327155 chr18 22933328 23026486 + 1093304 Yes
ATP6V1H ENSG00000047249 ENST00000359530 chr8 53715543 53843245 - 1093085 Yes
ZFP64 ENSG00000020256 ENST00000216923 chr20 52151278 52191779 - 1092845 Yes
TTC12 ENSG00000149292 ENST00000529221 chr11 113314583 113366387 + 1088212 Yes
COX10 ENSG00000006695 ENST00000261643 chr17 14069504 14208677 + 1077878 Yes
SLC25A24 ENSG00000085491 ENST00000565488 chr1 108134043 108200343 - 1077369 Yes
DMAC1 ENSG00000137038 ENST00000358227 chr9 7796500 7799778 - 1075637 Yes
MECOM ENSG00000085276 ENST00000651503 chr3 169083507 169663712 - 1074810 Yes
PLRG1 ENSG00000171566 ENST00000499023 chr4 154535005 154550400 - 1068659 Yes
TNKS ENSG00000285372 ENST00000644117 chrCHR_HG76_PATCH 10177060 10400259 - 1064914 Yes
DDX53 ENSG00000184735 ENST00000327968 chrX 22999960 23003589 + 1059251 Yes
